station_id,country,name,lat,lng,units,lw,mw,hw,rivers
rz.1681,DE,"Weiße Elster @ Elsterberg",50.610901,12.168,m³/s,7,16,30,"Weiße Elster / Plauen - Elsterberg"
sx.550490,DE,"Biela @ Bielatal 1",50.882,14.0465,m³/s,2,6,15,"Biela / Bielatal - Königstein"
sx.550620,DE,"Gottleuba @ Neundorf",50.916302,13.9774,m³/s,5,7,12,"Gottleuba / Einmündung Bahra - Pirna-Neundorf"
sx.550710,DE,"Bahra @ Markersbach",50.833,13.9796,m³/s,4,8,16,"Bahra / Markersbach - Mündung in die Gottleuba"
sx.550913,DE,"Müglitz @ Lauenstein 4",50.7896,13.8144,cm,30,50,70,"Müglitz / Lauenstein - Bärenheck"
sx.563745,DE,"Schwarzwasser @ Johanngeorgenstadt 4",50.437,12.7283,m³/s,4,8,13,"Schwarzwasser / Breitenbrunn - Antonsthal"
sx.568350,DE,"Natzschung (Nacetínský potok) @ Rothenthal",50.6189,13.3599,m³/s,5,10,15,"Natzschung / Rübenau - Rothenthal"
sx.568400,DE,"Schwarze Pockau @ Zöblitz",50.682598,13.212,m³/s,7,12,16,"Schwarze Pockau / Kühnhaide - Pobershau"
synthetic.11,DE,"Wolfsteiner Ohe @ Ursprung [estimated]",48.819302,13.5179,m³/s,10.5,15,23,"Wolfsteiner Ohe / Buchberger Leite - Ringelai"
synthetic.12,DE,"Asbach @ [estimated]",49.072498,12.9949,m³/s,7,15,None,"Asbach / Grafenried - Schwarzer Regen"
synthetic.19,DE,"Gottleuba @ Confluence Bahra [estimated]",50.884399,13.9824,m³/s,4,7,12,"Gottleuba / Upper"
synthetic.3,DE,"Murg @ Kirschbaumwasen [geschätzter Überlauf]",48.621498,8.356,m³/s,5,25,60,"Murg / Mittlere (Kirschbaumwassen - Forbach)"
vbg.V334618,DE,"Leiblach @ Unterhochsteg",47.537102,9.7362,m³/s,10,22,35,"Leiblach / Obernützenbrugg - Burgstall"
rz.1087,ES,"Ara @ Boltaña",42.436199,0.0783,m³/s,20,60,300,"Ara / Broto - Fiscal | Ara / Bujaruelo - Puente de Sta. Helena | Ara / Gorge de Boltana (Janovas - Boltana) | Ara / Les Dalles (Puente de Sta. Helena - Puente de los Navarros | Ara / Puente de los Navarros - Torla | Ara / Torla - Broto"
rz.1088,ES,"Aragón @ Jaca",42.578499,-0.5543,m³/s,10,45,None,"Aragon / Askara-Puente la Reina"
rz.1089,ES,"Arga @ Eugui",42.9702,-1.5148,m³/s,4,12,20,"Arga / Eugui-Zubiri"
rz.1090,ES,"Cinca @ Fraga",41.551899,0.3233,cm,120,135,None,"Cinca / Bajo"
rz.1091,ES,"Cinca @ Lafortunada",42.542702,0.1959,m³/s,15,35,None,"Cinca / Devotas (Salinas - Lafortunada) | Barrosa / Parzan - Bielsa | Cinca / Alto Cinca (Bielsa - Salinas)"
rz.1092,ES,"Esera @ Campo",42.424702,0.3878,m³/s,10,25,50,"Esera / Las Piramides (Campo - Santa Liestra) | Esera / Congost de Seira (Seira - Campo) | Esera / Congost de Ventamillo (El Run - Seira)"
rz.1093,ES,"Irati @ Liédena",42.623699,-1.2949,m³/s,6,15,None,"Irati / Foz de Lumbier"
rz.1094,ES,"Iregua @ Villoslada",42.1259,-2.6533,m³/s,4,11,30,"Iregua / Sifon"
rz.1095,ES,"Leza @ Leza",42.330299,-2.4078,m³/s,6,9,12,"Leza / "
rz.1096,ES,"N. Pallaresa @ Collegats",42.2747,1.0341,m³/s,10,40,200,"Noguera Pallaresa / Llavorsi - Rialp | Noguera Pallaresa / Baro - Collegats | Noguera Pallaresa / Rialp - Sort"
rz.1097,ES,"Najerilla @ Anguiano",42.256199,-2.7781,m³/s,6.5,12,20,"Najerilla / Clasico"
rz.1098,ES,"Subordán @ Javierregay",42.576801,-0.7545,m³/s,15,45,None,"Subordan / Hecho - Puente la Reina"
rz.1099,ES,"Urrobi @ Espinal (GN)",42.9678,-1.3541,cm,40,55,100,"Urrobi / Camping de Urrobi - Puente de Arrieta"
rz.1143,ES,"Esera @ Eriste",42.5788,0.4714,m³/s,8,17,None,"Esera / Eriste - Villanova"
rz.1145,ES,"Irati @ Orbaiceta",42.9846,-1.1638,m³/s,4,10,15,"Irati / Chalet Pedro - Lac d'Iraty"
rz.1336,ES,"Irati @ Irati-Oroz - Betelu",42.892101,-1.3034,cm,25,35,50,"Irati / Olaldea - Oroz-Betelu"
